id,adult_pattern,student_pattern,price_type,hours_note,conditions
pma,Adults\$[0-9.]+,Students with valid ID\$[0-9.]+,fixed,Mon/Thu/Sat/Sun 10–5; Fri 10–8:45; Tue/Wed closed,Bring valid student ID; main-building admission.
pafa,Adults \(18\+\)\$[0-9.]+,Students\$[0-9.]+,fixed,Thu–Mon 10–5; Fri until 8,Daytime rates. Friday 5–8 pm adult admission is discounted; student price unchanged.
woodmere,Adults\$[0-9.]+,"Teachers, Students, and Museum Employees \(with ID\)Free",fixed,See official visit page for both halls,"Student discount at front desk with ID. All visitors free Sundays, excluding events."
seaport,Adult \(18 – 64\)\$[0-9]+\$[0-9]+,"Discounted \(Children 3-17, College Students, Active Duty/Retired Military, Seniors\)\$[0-9]+\$[0-9]+",fixed,See official hours before travel,General Admission Package; submarine package excluded.
whitney,Adults \$[0-9.]+,Seniors and students \$[0-9.]+,fixed,Free Fridays 5–10 pm; second Sundays,Age 25 and under free for everyone. Advance tickets available; reserve free entry too.
gardner,Adults: \$[0-9.]+,College Students with current ID: \$[0-9.]+,fixed,Check timed-entry availability,Current college ID; reserve ahead. School-partner promo codes excluded.
harvard,Admission is free to all visitors every day,Admission is free to all visitors every day,free,Check current hours; Cambridge/Boston metro,Free for all; check in at Visitor Services.
mca,Non-Chicago Residents Adults\$[0-9]+,Non-Chicago Residents Adults\$[0-9]+ Students \$[0-9]+,suggested,Tue 10–9; Wed–Sun 10–5; Mon closed,Nonresident posted online prices; in-person admission is pay-what-you-can. Not a required minimum.
artic,Adult \$[0-9]+,Students \$[0-9]+,fixed,Consult current hours before travel,"First General Admission category, nonresident. Advance tickets encouraged; ticketed special exhibitions extra."
smart,admission to the Smart is always free and open to all,admission to the Smart is always free and open to all,free,Check exhibition schedule before travel,Free to all visitors.
phillips,Adults \$[0-9]+,Students and Educators \(with ID\) \$[0-9]+,fixed,Tue–Sun 10–5; Sun public entry from 11,ID required. Third Thursdays 5–8 pm free for all; check ticket availability.
saamdetail,Admission is Always Free,Admission is Always Free,free,Daily 11:30–7,No admission tickets required. Renwick closure noted on site; only SAAM main building represented.
sfmoma,Adult \$[0-9]+,"Students \(full time, with ID\) \$[0-9]+",fixed,Mon/Tue/Fri–Sun 10–5; Thu noon–8; Wed closed,Full-time student with ID. Ages 18 and younger free.
getty,"Admission is free, and requires a timed-entry reservation","Admission is free, and requires a timed-entry reservation",free,Check reserved arrival time,Free admission requires timed-entry reservation. Parking costs excluded.
hammer,Admission to the Hammer is free,Admission to the Hammer is free,free,See official gallery hours,No advance reservation needed for individuals; groups of 10+ register.
camh,Admission is always free,Admission is always free,free,Check exhibition hours before travel,Free to all; only one Houston museum in the final sample.
frick,Adults \$[0-9]+,Students \(with I.D.\) \$[0-9]+,fixed,Wed pay-what-you-wish 1:30–5:30 pm,Timed tickets recommended; student ID. Wednesday online minimum $5; different amounts onsite subject to availability.
icaboston,Adults \$[0-9]+,Students \$[0-9]+,fixed,Thursday free entry 5–9 pm,Free Thursday advance tickets required; age 18 and under free.
