"id","city","region","museum","url","adult","student","saving","adult22","student22","price_type","hours_note","conditions","observed_date","adult_evidence","student_evidence","saving22"
"pma","Philadelphia","Northeast","Philadelphia Museum of Art","https://www.philamuseum.org/main-building",30,14,16,30,14,"fixed","Mon/Thu/Sat/Sun 10–5; Fri 10–8:45; Tue/Wed closed","Bring valid student ID; main-building admission.","2026-09-21","Adults$30","Students with valid ID$14",16
"pafa","Philadelphia","Northeast","PAFA","https://www.pafa.org/museum/visit",25,10,15,25,10,"fixed","Thu–Mon 10–5; Fri until 8","Daytime rates. Friday 5–8 pm adult admission is discounted; student price unchanged.","2026-09-21","Adults (18+)$25.00","Students$10.00",15
"woodmere","Philadelphia","Northeast","Woodmere","https://woodmeremuseum.org/visit",15,0,15,15,0,"fixed","See official visit page for both halls","Student discount at front desk with ID. All visitors free Sundays, excluding events.","2026-09-21","Adults$15","Teachers, Students, and Museum Employees (with ID)Free",15
"seaport","Philadelphia","Northeast","Independence Seaport Museum","https://www.phillyseaport.org/admissons-hours-of-operation/",23,18,5,23,18,"fixed","See official hours before travel","General Admission Package; submarine package excluded.","2026-09-21","Adult (18 – 64)$33$23","Discounted (Children 3-17, College Students, Active Duty/Retired Military, Seniors)$28$18",5
"whitney","New York","Northeast","Whitney Museum of American Art","https://whitney.org/visit",30,24,6,0,0,"fixed","Free Fridays 5–10 pm; second Sundays","Age 25 and under free for everyone. Advance tickets available; reserve free entry too.","2026-09-21","Adults $30","Seniors and students $24",0
"gardner","Boston","Northeast","Isabella Stewart Gardner Museum","https://www.gardnermuseum.org/visit/admissions",25,15,10,25,15,"fixed","Check timed-entry availability","Current college ID; reserve ahead. School-partner promo codes excluded.","2026-09-21","Adults: $25","College Students with current ID: $15",10
"harvard","Boston","Northeast","Harvard Art Museums","https://harvardartmuseums.org/visit",0,0,0,0,0,"free","Check current hours; Cambridge/Boston metro","Free for all; check in at Visitor Services.","2026-09-21","Admission is free to all visitors every day","Admission is free to all visitors every day",0
"mca","Chicago","Midwest","Museum of Contemporary Art Chicago","https://mcachicago.org/visit/",22,14,8,22,14,"suggested","Tue 10–9; Wed–Sun 10–5; Mon closed","Nonresident posted online prices; in-person admission is pay-what-you-can. Not a required minimum.","2026-09-21","Non-Chicago Residents Adults$22","Non-Chicago Residents Adults$22 Students $14",8
"artic","Chicago","Midwest","Art Institute of Chicago","https://www.artic.edu/visit",32,26,6,32,26,"fixed","Consult current hours before travel","First General Admission category, nonresident. Advance tickets encouraged; ticketed special exhibitions extra.","2026-09-21","Adult $32","Students $26",6
"smart","Chicago","Midwest","Smart Museum of Art","https://smartmuseum.uchicago.edu/visit/",0,0,0,0,0,"free","Check exhibition schedule before travel","Free to all visitors.","2026-09-21","admission to the Smart is always free and open to all","admission to the Smart is always free and open to all",0
"phillips","Washington DC","South","The Phillips Collection","https://www.phillipscollection.org/visit",20,10,10,20,10,"fixed","Tue–Sun 10–5; Sun public entry from 11","ID required. Third Thursdays 5–8 pm free for all; check ticket availability.","2026-09-21","Adults $20","Students and Educators (with ID) $10",10
"saamdetail","Washington DC","South","Smithsonian American Art Museum","https://americanart.si.edu/visit/saam",0,0,0,0,0,"free","Daily 11:30–7","No admission tickets required. Renwick closure noted on site; only SAAM main building represented.","2026-09-21","Admission is Always Free","Admission is Always Free",0
"sfmoma","San Francisco","West","SFMOMA","https://www.sfmoma.org/visit/",30,23,7,30,23,"fixed","Mon/Tue/Fri–Sun 10–5; Thu noon–8; Wed closed","Full-time student with ID. Ages 18 and younger free.","2026-09-21","Adult $30","Students (full time, with ID) $23",7
"getty","Los Angeles","West","Getty Center","https://www.getty.edu/visit/center/",0,0,0,0,0,"free","Check reserved arrival time","Free admission requires timed-entry reservation. Parking costs excluded.","2026-09-21","Admission is free, and requires a timed-entry reservation","Admission is free, and requires a timed-entry reservation",0
"hammer","Los Angeles","West","Hammer Museum","https://hammer.ucla.edu/visit",0,0,0,0,0,"free","See official gallery hours","No advance reservation needed for individuals; groups of 10+ register.","2026-09-21","Admission to the Hammer is free","Admission to the Hammer is free",0
"camh","Houston","South","Contemporary Arts Museum Houston","https://camh.org/visit/",0,0,0,0,0,"free","Check exhibition hours before travel","Free to all; only one Houston museum in the final sample.","2026-09-21","Admission is always free","Admission is always free",0
"frick","New York","Northeast","The Frick Collection","https://www.frick.org/visit",30,17,13,30,17,"fixed","Wed pay-what-you-wish 1:30–5:30 pm","Timed tickets recommended; student ID. Wednesday online minimum $5; different amounts onsite subject to availability.","2026-09-21","Adults $30","Students (with I.D.) $17",13
"icaboston","Boston","Northeast","Institute of Contemporary Art Boston","https://www.icaboston.org/visit/",20,15,5,20,15,"fixed","Thursday free entry 5–9 pm","Free Thursday advance tickets required; age 18 and under free.","2026-09-21","Adults $20","Students $15",5
